Date,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
22-Dec-00,5875
29-Dec-00,5903
5-Jan-01,5944
12-Jan-01,5949
19-Jan-01,5912
26-Jan-01,5935
2-Feb-01,5929
9-Feb-01,5866
16-Feb-01,5857
23-Feb-01,5875
2-Mar-01,5876
9-Mar-01,5868
16-Mar-01,5883
23-Mar-01,5868
30-Mar-01,5883
6-Apr-01,5867
13-Apr-01,5855
20-Apr-01,5861
27-Apr-01,5884
4-May-01,5831
11-May-01,5780
18-May-01,5785
25-May-01,5819
1-Jun-01,5823
8-Jun-01,5746
15-Jun-01,5726
22-Jun-01,5740
29-Jun-01,5756
6-Jul-01,5756
13-Jul-01,5770
20-Jul-01,5731
27-Jul-01,5705
3-Aug-01,5745
10-Aug-01,5773
17-Aug-01,5785
24-Aug-01,5796
31-Aug-01,5751
7-Sep-01,5829
14-Sep-01,5814
21-Sep-01,5789
28-Sep-01,5735
5-Oct-01,5736
12-Oct-01,5515
19-Oct-01,5828
26-Oct-01,5879
2-Nov-01,5859
9-Nov-01,5863
16-Nov-01,5872
23-Nov-01,5882
30-Nov-01,5873
7-Dec-01,5856
14-Dec-01,5884
21-Dec-01,5911
28-Dec-01,5902
4-Jan-02,5922
11-Jan-02,5922
18-Jan-02,5911
25-Jan-02,5909
1-Feb-02,5916
8-Feb-02,5952
15-Feb-02,5927
22-Feb-02,5956
1-Mar-02,5966
8-Mar-02,5947
15-Mar-02,5975
22-Mar-02,5948
29-Mar-02,5956
5-Apr-02,5916
12-Apr-02,5922
19-Apr-02,5896
26-Apr-02,5865
3-May-02,5879
10-May-02,5889
17-May-02,5894
24-May-02,5890
31-May-02,5896
7-Jun-02,5897
14-Jun-02,5910
21-Jun-02,5939
28-Jun-02,5917
5-Jul-02,5898
12-Jul-02,5885
19-Jul-02,5839
26-Jul-02,5844
2-Aug-02,5604
9-Aug-02,5858
16-Aug-02,5907
23-Aug-02,5918
30-Aug-02,5883
6-Sep-02,5773
13-Sep-02,5716
20-Sep-02,5736
27-Sep-02,5190
4-Oct-02,4803
11-Oct-02,5490
18-Oct-02,5721
25-Oct-02,5714
1-Nov-02,5711
8-Nov-02,5349
15-Nov-02,5738
22-Nov-02,5754
29-Nov-02,5740
6-Dec-02,5763
13-Dec-02,5752
20-Dec-02,5758
27-Dec-02,5749
3-Jan-03,5752
10-Jan-03,5728
17-Jan-03,5702
24-Jan-03,5739
31-Jan-03,5764
7-Feb-03,5899
14-Feb-03,5906
21-Feb-03,5898
28-Feb-03,5901
7-Mar-03,5872
14-Mar-03,5886
21-Mar-03,5906
28-Mar-03,5906
4-Apr-03,5866
11-Apr-03,5801
18-Apr-03,5772
25-Apr-03,5766
2-May-03,5829
9-May-03,5855
16-May-03,5807
23-May-03,5813
30-May-03,5837
6-Jun-03,5803
13-Jun-03,5860
20-Jun-03,5900
27-Jun-03,5867
4-Jul-03,5815
11-Jul-03,5770
18-Jul-03,5777
25-Jul-03,5699
1-Aug-03,5738
8-Aug-03,5747
15-Aug-03,5750
22-Aug-03,5736
29-Aug-03,5723
5-Sep-03,5727
12-Sep-03,5703
19-Sep-03,5739
26-Sep-03,5734
3-Oct-03,5678
10-Oct-03,5559
17-Oct-03,5605
24-Oct-03,5614
31-Oct-03,5550
7-Nov-03,5596
14-Nov-03,5692
21-Nov-03,5683
28-Nov-03,5709
5-Dec-03,5597
12-Dec-03,5592
19-Dec-03,5663
26-Dec-03,5658
2-Jan-04,5664
9-Jan-04,5705
16-Jan-04,5717
23-Jan-04,5709
30-Jan-04,5710
6-Feb-04,5703
13-Feb-04,5658
20-Feb-04,5622
27-Feb-04,5661
5-Mar-04,5675
12-Mar-04,5658
19-Mar-04,5657
26-Mar-04,5658
2-Apr-04,5661
9-Apr-04,5611
16-Apr-04,5588
23-Apr-04,5618
30-Apr-04,5624
7-May-04,5626
14-May-04,5611
21-May-04,5608
28-May-04,5460
4-Jun-04,5452
11-Jun-04,5411
18-Jun-04,5434
25-Jun-04,5394
2-Jul-04,5404
9-Jul-04,5485
16-Jul-04,5334
23-Jul-04,5446
30-Jul-04,5367
6-Aug-04,5414
13-Aug-04,5243
20-Aug-04,5113
27-Aug-04,5401
3-Sep-04,5360
10-Sep-04,5337
