,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
185,1994-06-03,06-1994,4708.9,156.4,6.1,15824,7382,6695,18.24,18.26
186,1994-06-10,06-1994,4708.9,156.4,6.1,18080,7134,6530,18.26,19.61
187,1994-06-17,06-1994,4708.9,156.4,6.1,17153,8890,6648,19.61,19.8
188,1994-06-24,06-1994,4708.9,156.4,6.1,18109,8027,6656,19.8,19.16
189,1994-07-01,07-1994,4720.6,156.7,6.1,16950,7124,6604,19.16,19.39
190,1994-07-08,07-1994,4720.6,156.7,6.1,17221,7878,6591,19.39,20.16
191,1994-07-15,07-1994,4720.6,156.7,6.1,17142,8550,6618,20.16,19.39
192,1994-07-22,07-1994,4720.6,156.7,6.1,18143,7183,6522,19.39,19.66
193,1994-07-29,07-1994,4720.6,156.7,6.1,16795,8155,6566,19.66,20.09
194,1994-08-05,08-1994,4762.6,157.1,6.0,17899,6427,6582,20.09,18.88
195,1994-08-12,08-1994,4762.6,157.1,6.0,17994,8256,6521,18.88,17.85
196,1994-08-19,08-1994,4762.6,157.1,6.0,18085,7549,6540,17.85,17.23
197,1994-08-26,08-1994,4762.6,157.1,6.0,17052,6987,6583,17.23,17.52
198,1994-09-02,09-1994,4775.0,157.5,5.9,18275,8544,6552,17.52,17.65
199,1994-09-09,09-1994,4775.0,157.5,5.9,17047,7124,6545,17.65,16.93
200,1994-09-16,09-1994,4775.0,157.5,5.9,17095,8414,6526,16.93,17.38
201,1994-09-23,09-1994,4775.0,157.5,5.9,17853,6745,6595,17.38,17.83
202,1994-09-30,09-1994,4775.0,157.5,5.9,17090,8059,6640,17.83,18.13
203,1994-10-07,10-1994,4812.9,157.8,5.8,17014,7208,6692,18.13,17.37
204,1994-10-14,10-1994,4812.9,157.8,5.8,18477,6961,6703,17.37,17.35
205,1994-10-21,10-1994,4812.9,157.8,5.8,17315,7018,6703,17.35,17.93
206,1994-10-28,10-1994,4812.9,157.8,5.8,17715,6893,6633,17.93,18.69
207,1994-11-04,11-1994,4825.6,158.2,5.6,17423,6564,6620,18.69,18.25
208,1994-11-11,11-1994,4825.6,158.2,5.6,17419,7601,6616,18.25,17.51
209,1994-11-18,11-1994,4825.6,158.2,5.6,17680,7398,6668,17.51,17.73
210,1994-11-25,11-1994,4825.6,158.2,5.6,17381,7161,6626,17.73,17.78
211,1994-12-02,12-1994,4841.6,158.3,5.5,16226,6224,6472,17.78,16.99
212,1994-12-09,12-1994,4841.6,158.3,5.5,19222,7030,6670,16.99,16.86
213,1994-12-16,12-1994,4841.6,158.3,5.5,17096,7222,6655,16.86,17.1
